"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 24 08:14:20 GMT 2024","Sat Feb 24 08:14:20 GMT 2024","210","webkit","APITests.spec.js","","","","Create Token",""
"passed","Sat Feb 24 08:14:17 GMT 2024","Sat Feb 24 08:14:19 GMT 2024","1641","firefox","e2e.spec.js","","","","Add to products into the cart",""
"passed","Sat Feb 24 08:14:11 GMT 2024","Sat Feb 24 08:14:11 GMT 2024","149","firefox","APITests.spec.js","","","","getBookingIds by all IDs",""
"passed","Sat Feb 24 08:14:26 GMT 2024","Sat Feb 24 08:14:28 GMT 2024","1864","webkit","e2e.spec.js","","","","Add the product into the cart and assert if it is added or not",""
"passed","Sat Feb 24 08:14:11 GMT 2024","Sat Feb 24 08:14:11 GMT 2024","146","firefox","APITests.spec.js","","","","getBookingIds by filter name",""
"passed","Sat Feb 24 08:14:05 GMT 2024","Sat Feb 24 08:14:06 GMT 2024","134","chromium","APITests.spec.js","","","","Update Booking",""
"passed","Sat Feb 24 08:14:21 GMT 2024","Sat Feb 24 08:14:21 GMT 2024","129","webkit","APITests.spec.js","","","","Update Booking",""
"skipped","Sat Feb 24 08:14:34 GMT 2024","Sat Feb 24 08:14:34 GMT 2024","0","webkit","excelManipulation.spec.js","","","","Write excel file contents",""
"passed","Sat Feb 24 08:14:05 GMT 2024","Sat Feb 24 08:14:05 GMT 2024","131","chromium","APITests.spec.js","","","","Create Booking",""
"passed","Sat Feb 24 08:14:12 GMT 2024","Sat Feb 24 08:14:12 GMT 2024","133","firefox","APITests.spec.js","","","","Update Booking",""
"passed","Sat Feb 24 08:14:20 GMT 2024","Sat Feb 24 08:14:20 GMT 2024","165","webkit","APITests.spec.js","","","","getBookingIds by checkin checkout",""
"passed","Sat Feb 24 08:14:16 GMT 2024","Sat Feb 24 08:14:17 GMT 2024","990","firefox","e2e.spec.js","","","","Check the first and last product before applying filter and after applying the filter",""
"passed","Sat Feb 24 08:14:14 GMT 2024","Sat Feb 24 08:14:15 GMT 2024","789","firefox","e2e.spec.js","","","","check the product available or not",""
"passed","Sat Feb 24 08:14:20 GMT 2024","Sat Feb 24 08:14:21 GMT 2024","127","webkit","APITests.spec.js","","","","getBooking by ID",""
"passed","Sat Feb 24 08:14:06 GMT 2024","Sat Feb 24 08:14:06 GMT 2024","142","chromium","APITests.spec.js","","","","Partial Update Booking",""
"passed","Sat Feb 24 08:14:08 GMT 2024","Sat Feb 24 08:14:09 GMT 2024","759","chromium","e2e.spec.js","","","","Check the first and last product before applying filter and after applying the filter",""
"passed","Sat Feb 24 08:14:12 GMT 2024","Sat Feb 24 08:14:12 GMT 2024","132","firefox","APITests.spec.js","","","","getBooking by ID",""
"passed","Sat Feb 24 08:14:06 GMT 2024","Sat Feb 24 08:14:06 GMT 2024","125","chromium","APITests.spec.js","","","","Delete Booking",""
"passed","Sat Feb 24 08:14:07 GMT 2024","Sat Feb 24 08:14:08 GMT 2024","705","chromium","e2e.spec.js","","","","Add the product into the cart and assert if it is added or not",""
"passed","Sat Feb 24 08:14:25 GMT 2024","Sat Feb 24 08:14:26 GMT 2024","1283","webkit","e2e.spec.js","","","","check the product available or not",""
"skipped","Sat Feb 24 08:14:10 GMT 2024","Sat Feb 24 08:14:10 GMT 2024","0","chromium","excelManipulation.spec.js","","","","Write excel file contents",""
"passed","Sat Feb 24 08:14:10 GMT 2024","Sat Feb 24 08:14:10 GMT 2024","41","chromium","excelManipulation.spec.js","","","","Read excel file contents",""
