"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 18 08:24:46 GMT 2024","Sun Feb 18 08:24:47 GMT 2024","1304","firefox","APITests.spec.js","","","","getBooking by ID",""
"passed","Sun Feb 18 08:25:00 GMT 2024","Sun Feb 18 08:25:01 GMT 2024","1301","webkit","APITests.spec.js","","","","Create Booking",""
"passed","Sun Feb 18 08:25:04 GMT 2024","Sun Feb 18 08:25:05 GMT 2024","1467","webkit","APITests.spec.js","","","","Partial Update Booking",""
"passed","Sun Feb 18 08:24:59 GMT 2024","Sun Feb 18 08:25:00 GMT 2024","1500","webkit","APITests.spec.js","","","","getBookingIds by checkin checkout",""
"passed","Sun Feb 18 08:30:20 GMT 2024","Sun Feb 18 08:30:21 GMT 2024","1370","webkit","e2e.spec.js","","","","Add the product into the cart and assert if it is added or not",""
"passed","Sun Feb 18 08:25:03 GMT 2024","Sun Feb 18 08:25:04 GMT 2024","1312","webkit","APITests.spec.js","","","","Update Booking",""
"passed","Sun Feb 18 08:30:02 GMT 2024","Sun Feb 18 08:30:03 GMT 2024","1105","chromium","e2e.spec.js","","","","Add to products into the cart",""
"passed","Sun Feb 18 08:25:01 GMT 2024","Sun Feb 18 08:25:03 GMT 2024","1219","webkit","APITests.spec.js","","","","getBooking by ID",""
"passed","Sun Feb 18 08:24:55 GMT 2024","Sun Feb 18 08:24:57 GMT 2024","2022","webkit","APITests.spec.js","","","","getBookingIds by all IDs",""
"passed","Sun Feb 18 08:24:26 GMT 2024","Sun Feb 18 08:24:28 GMT 2024","1624","chromium","APITests.spec.js","","","","getBookingIds by all IDs",""
"passed","Sun Feb 18 08:24:33 GMT 2024","Sun Feb 18 08:24:34 GMT 2024","1264","chromium","APITests.spec.js","","","","Update Booking",""
"passed","Sun Feb 18 08:30:19 GMT 2024","Sun Feb 18 08:30:20 GMT 2024","1015","webkit","e2e.spec.js","","","","check the product available or not",""
"passed","Sun Feb 18 08:24:40 GMT 2024","Sun Feb 18 08:24:42 GMT 2024","1510","firefox","APITests.spec.js","","","","getBookingIds by all IDs",""
"passed","Sun Feb 18 08:24:29 GMT 2024","Sun Feb 18 08:24:30 GMT 2024","1258","chromium","APITests.spec.js","","","","getBookingIds by checkin checkout",""
"passed","Sun Feb 18 08:30:00 GMT 2024","Sun Feb 18 08:30:01 GMT 2024","557","chromium","e2e.spec.js","","","","check the product available or not",""
"passed","Sun Feb 18 08:30:07 GMT 2024","Sun Feb 18 08:30:08 GMT 2024","661","firefox","e2e.spec.js","","","","check the product available or not",""
"passed","Sun Feb 18 08:24:44 GMT 2024","Sun Feb 18 08:24:46 GMT 2024","1223","firefox","APITests.spec.js","","","","Create Booking",""
"passed","Sun Feb 18 08:24:38 GMT 2024","Sun Feb 18 08:24:40 GMT 2024","2077","firefox","APITests.spec.js","","","","Create Token",""
"passed","Sun Feb 18 08:24:57 GMT 2024","Sun Feb 18 08:24:59 GMT 2024","1121","webkit","APITests.spec.js","","","","getBookingIds by filter name",""
"passed","Sun Feb 18 08:24:30 GMT 2024","Sun Feb 18 08:24:31 GMT 2024","1282","chromium","APITests.spec.js","","","","Create Booking",""
"passed","Sun Feb 18 08:24:35 GMT 2024","Sun Feb 18 08:24:37 GMT 2024","1413","chromium","APITests.spec.js","","","","Delete Booking",""
"passed","Sun Feb 18 08:30:08 GMT 2024","Sun Feb 18 08:30:08 GMT 2024","766","firefox","e2e.spec.js","","","","Add the product into the cart and assert if it is added or not",""
"passed","Sun Feb 18 08:30:04 GMT 2024","Sun Feb 18 08:30:07 GMT 2024","3134","firefox","e2e.spec.js","","","","count the number of products",""
"passed","Sun Feb 18 08:30:12 GMT 2024","Sun Feb 18 08:30:19 GMT 2024","6396","webkit","e2e.spec.js","","","","count the number of products",""
"passed","Sun Feb 18 08:24:47 GMT 2024","Sun Feb 18 08:24:48 GMT 2024","1503","firefox","APITests.spec.js","","","","Update Booking",""
"passed","Sun Feb 18 08:24:48 GMT 2024","Sun Feb 18 08:24:50 GMT 2024","1264","firefox","APITests.spec.js","","","","Partial Update Booking",""
"passed","Sun Feb 18 08:30:08 GMT 2024","Sun Feb 18 08:30:09 GMT 2024","855","firefox","e2e.spec.js","","","","Check the first and last product before applying filter and after applying the filter",""
"passed","Sun Feb 18 08:24:43 GMT 2024","Sun Feb 18 08:24:44 GMT 2024","1285","firefox","APITests.spec.js","","","","getBookingIds by checkin checkout",""
"passed","Sun Feb 18 08:25:05 GMT 2024","Sun Feb 18 08:25:07 GMT 2024","1234","webkit","APITests.spec.js","","","","Delete Booking",""
"passed","Sun Feb 18 08:30:23 GMT 2024","Sun Feb 18 08:30:25 GMT 2024","2683","webkit","e2e.spec.js","","","","Add to products into the cart",""
"passed","Sun Feb 18 08:30:09 GMT 2024","Sun Feb 18 08:30:11 GMT 2024","1497","firefox","e2e.spec.js","","","","Add to products into the cart",""
"passed","Sun Feb 18 08:24:54 GMT 2024","Sun Feb 18 08:24:55 GMT 2024","1581","webkit","APITests.spec.js","","","","Create Token",""
"passed","Sun Feb 18 08:24:24 GMT 2024","Sun Feb 18 08:24:26 GMT 2024","2111","chromium","APITests.spec.js","","","","Create Token",""
"passed","Sun Feb 18 08:30:02 GMT 2024","Sun Feb 18 08:30:02 GMT 2024","684","chromium","e2e.spec.js","","","","Check the first and last product before applying filter and after applying the filter",""
"passed","Sun Feb 18 08:30:21 GMT 2024","Sun Feb 18 08:30:23 GMT 2024","1486","webkit","e2e.spec.js","","","","Check the first and last product before applying filter and after applying the filter",""
"passed","Sun Feb 18 08:24:50 GMT 2024","Sun Feb 18 08:24:51 GMT 2024","1337","firefox","APITests.spec.js","","","","Delete Booking",""
"passed","Sun Feb 18 08:24:28 GMT 2024","Sun Feb 18 08:24:29 GMT 2024","1226","chromium","APITests.spec.js","","","","getBookingIds by filter name",""
"passed","Sun Feb 18 08:24:34 GMT 2024","Sun Feb 18 08:24:35 GMT 2024","1279","chromium","APITests.spec.js","","","","Partial Update Booking",""
"passed","Sun Feb 18 08:29:58 GMT 2024","Sun Feb 18 08:30:00 GMT 2024","2864","chromium","e2e.spec.js","","","","count the number of products",""
"passed","Sun Feb 18 08:24:31 GMT 2024","Sun Feb 18 08:24:33 GMT 2024","1211","chromium","APITests.spec.js","","","","getBooking by ID",""
"passed","Sun Feb 18 08:24:42 GMT 2024","Sun Feb 18 08:24:43 GMT 2024","1241","firefox","APITests.spec.js","","","","getBookingIds by filter name",""
"passed","Sun Feb 18 08:30:01 GMT 2024","Sun Feb 18 08:30:02 GMT 2024","650","chromium","e2e.spec.js","","","","Add the product into the cart and assert if it is added or not",""
